OpenROAD v2.0-17941-g7fb347f37 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 8 thread(s).
global_route -congestion_report_file ./reports/sky130hd/sha256_unrolled_pipelined/base/congestion.rpt -congestion_iterations 30 -congestion_report_iter_step 5 -verbose
[INFO GRT-0020] Min routing layer: met1
[INFO GRT-0021] Max routing layer: met5
[INFO GRT-0022] Global adjustment: 0%
[INFO GRT-0023] Grid origin: (0, 0)
[INFO GRT-0043] No OR_DEFAULT vias defined.
[INFO GRT-0088] Layer li1     Track-Pitch = 0.4600  line-2-Via Pitch: 0.3400
[INFO GRT-0088] Layer met1    Track-Pitch = 0.3400  line-2-Via Pitch: 0.3400
[INFO GRT-0088] Layer met2    Track-Pitch = 0.4600  line-2-Via Pitch: 0.3500
[INFO GRT-0088] Layer met3    Track-Pitch = 0.6800  line-2-Via Pitch: 0.6150
[INFO GRT-0088] Layer met4    Track-Pitch = 0.9200  line-2-Via Pitch: 1.0400
[INFO GRT-0088] Layer met5    Track-Pitch = 3.4000  line-2-Via Pitch: 3.1100
[INFO GRT-0019] Found 335 clock nets.
[INFO GRT-0001] Minimum degree: 2
[INFO GRT-0002] Maximum degree: 257
[INFO GRT-0003] Macros: 0
[INFO GRT-0043] No OR_DEFAULT vias defined.
[INFO GRT-0004] Blockages: 130278

[INFO GRT-0053] Routing resources analysis:
          Routing      Original      Derated      Resource
Layer     Direction    Resources     Resources    Reduction (%)
---------------------------------------------------------------
li1        Vertical            0             0          0.00%
met1       Horizontal     180975         64850          64.17%
met2       Vertical       135755         88736          34.64%
met3       Horizontal      90440         65636          27.43%
met4       Vertical        54435         31584          41.98%
met5       Horizontal      18050          8930          50.53%
---------------------------------------------------------------

[INFO GRT-0101] Running extra iterations to remove overflow.
[INFO GRT-0197] Via related to pin nodes: 128634
[INFO GRT-0198] Via related Steiner nodes: 4307
[INFO GRT-0199] Via filling finished.
[INFO GRT-0111] Final number of vias: 171985
[INFO GRT-0112] Final usage 3D: 648405

[INFO GRT-0096] Final congestion report:
Layer         Resource        Demand        Usage (%)    Max H / Max V / Total Overflow
---------------------------------------------------------------------------------------
li1                  0             0            0.00%             0 /  0 /  0
met1             64850         33644           51.88%             0 /  0 /  0
met2             88736         55243           62.26%             0 /  0 /  0
met3             65636         28238           43.02%             0 /  0 /  0
met4             31584         12904           40.86%             0 /  0 /  0
met5              8930          2421           27.11%             0 /  0 /  0
---------------------------------------------------------------------------------------
Total           259736        132450           50.99%             0 /  0 /  0

[INFO GRT-0018] Total wirelength: 1318127 um
[INFO GRT-0014] Routed nets: 17844
Perform buffer insertion and gate resizing...
repair_design 
[INFO RSZ-0058] Using max wire length 2154um.
Placement Analysis
---------------------------------
total displacement          0.0 u
average displacement        0.0 u
max displacement            0.0 u
original HPWL          672640.1 u
legalized HPWL         672640.1 u
delta HPWL                    0 %

Repair setup and hold violations...
repair_timing -verbose -setup_margin 0 -hold_margin 0 -repair_tns 100
[INFO RSZ-0094] Found 47 endpoints with setup violations.
[INFO RSZ-0099] Repairing 47 out of 47 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
        0 |       0 |       0 |        0 |      0 |     0 |   -1.726 |      -23.2 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
       10 |       0 |       4 |        0 |      1 |     4 |   -1.687 |      -23.1 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
       20 |       0 |       9 |        2 |      1 |     8 |   -1.556 |      -20.1 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
       30 |       0 |      10 |        2 |      1 |    17 |   -1.780 |      -25.4 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
       40 |       0 |      17 |        2 |      1 |    20 |   -1.648 |      -23.8 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
       50 |       0 |      23 |        6 |      1 |    22 |   -1.564 |      -25.2 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
       60 |       0 |      23 |        6 |      1 |    32 |   -1.455 |      -23.0 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
       70 |       0 |      29 |        6 |      1 |    36 |   -1.358 |      -16.9 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
       80 |       0 |      32 |        6 |      1 |    43 |   -1.360 |      -15.3 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
       90 |       0 |      35 |       22 |      1 |    46 |   -1.268 |      -13.2 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      100 |       0 |      36 |       22 |      1 |    55 |   -1.378 |      -13.6 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      110 |       0 |      39 |       24 |      1 |    61 |   -1.372 |      -13.1 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      113 |       0 |      35 |       23 |      1 |    47 |   -1.245 |      -13.2 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      120 |       0 |      39 |       23 |      1 |    49 |   -1.246 |      -13.0 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      120 |       0 |      35 |       23 |      1 |    47 |   -1.245 |      -13.2 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      127 |       0 |      39 |       23 |      1 |    49 |   -1.244 |      -13.0 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      130 |       0 |      40 |       23 |      1 |    50 |   -1.244 |      -13.3 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      140 |       0 |      45 |       23 |      1 |    55 |   -1.272 |      -13.4 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      150 |       0 |      51 |       25 |      1 |    58 |   -1.298 |      -13.7 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      160 |       0 |      55 |       25 |      1 |    64 |   -1.309 |      -13.7 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      170 |       0 |      60 |       25 |      1 |    69 |   -1.322 |      -13.7 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      171 |       0 |      42 |       24 |      1 |    49 |   -1.244 |      -13.0 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      180 |       0 |      49 |       24 |      1 |    50 |   -1.260 |      -12.2 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      190 |       0 |      51 |       24 |      1 |    58 |   -1.261 |      -12.0 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      200 |       0 |      59 |       24 |      1 |    60 |   -1.285 |      -12.4 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      210 |       0 |      61 |       24 |      1 |    68 |   -1.286 |      -12.5 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      211 |       0 |      48 |       24 |      1 |    49 |   -1.244 |      -12.7 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      220 |       0 |      53 |       24 |      1 |    52 |   -1.267 |      -12.3 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      230 |       0 |      57 |       24 |      1 |    58 |   -1.267 |      -12.1 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      237 |       0 |      53 |       24 |      1 |    50 |   -1.244 |      -12.1 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      240 |       0 |      55 |       24 |      1 |    50 |   -1.248 |      -11.7 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      250 |       0 |      62 |       26 |      1 |    52 |   -1.286 |      -12.3 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
      251 |       0 |      55 |       25 |      1 |    50 |   -1.244 |      -11.7 |     47 | hash.p3_cap\[31\]$_DFF_P_/D
