OpenROAD v2.0-17941-g7fb347f37 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 8 thread(s).
global_route -congestion_report_file ./reports/sky130hd/sha256_unrolled_pipelined/base/congestion.rpt -congestion_iterations 30 -congestion_report_iter_step 5 -verbose
[INFO GRT-0020] Min routing layer: met1
[INFO GRT-0021] Max routing layer: met5
[INFO GRT-0022] Global adjustment: 0%
[INFO GRT-0023] Grid origin: (0, 0)
[INFO GRT-0043] No OR_DEFAULT vias defined.
[INFO GRT-0088] Layer li1     Track-Pitch = 0.4600  line-2-Via Pitch: 0.3400
[INFO GRT-0088] Layer met1    Track-Pitch = 0.3400  line-2-Via Pitch: 0.3400
[INFO GRT-0088] Layer met2    Track-Pitch = 0.4600  line-2-Via Pitch: 0.3500
[INFO GRT-0088] Layer met3    Track-Pitch = 0.6800  line-2-Via Pitch: 0.6150
[INFO GRT-0088] Layer met4    Track-Pitch = 0.9200  line-2-Via Pitch: 1.0400
[INFO GRT-0088] Layer met5    Track-Pitch = 3.4000  line-2-Via Pitch: 3.1100
[INFO GRT-0019] Found 334 clock nets.
[INFO GRT-0001] Minimum degree: 2
[INFO GRT-0002] Maximum degree: 257
[INFO GRT-0003] Macros: 0
[INFO GRT-0043] No OR_DEFAULT vias defined.
[INFO GRT-0004] Blockages: 130190

[INFO GRT-0053] Routing resources analysis:
          Routing      Original      Derated      Resource
Layer     Direction    Resources     Resources    Reduction (%)
---------------------------------------------------------------
li1        Vertical            0             0          0.00%
met1       Horizontal     163530         56217          65.62%
met2       Vertical       122580         80189          34.58%
met3       Horizontal      81720         59237          27.51%
met4       Vertical        49230         28747          41.61%
met5       Horizontal      16290          8012          50.82%
---------------------------------------------------------------

[INFO GRT-0101] Running extra iterations to remove overflow.
[INFO GRT-0197] Via related to pin nodes: 130687
[INFO GRT-0198] Via related Steiner nodes: 4694
[INFO GRT-0199] Via filling finished.
[INFO GRT-0111] Final number of vias: 176963
[INFO GRT-0112] Final usage 3D: 672051

[INFO GRT-0096] Final congestion report:
Layer         Resource        Demand        Usage (%)    Max H / Max V / Total Overflow
---------------------------------------------------------------------------------------
li1                  0             0            0.00%             0 /  0 /  0
met1             56217         34360           61.12%             0 /  0 /  0
met2             80189         57247           71.39%             0 /  0 /  0
met3             59237         31797           53.68%             0 /  0 /  0
met4             28747         14589           50.75%             0 /  0 /  0
met5              8012          3169           39.55%             0 /  0 /  0
---------------------------------------------------------------------------------------
Total           232402        141162           60.74%             0 /  0 /  0

[INFO GRT-0018] Total wirelength: 1391847 um
[INFO GRT-0014] Routed nets: 17916
Perform buffer insertion and gate resizing...
repair_design 
[INFO RSZ-0058] Using max wire length 2154um.
Placement Analysis
---------------------------------
total displacement          0.0 u
average displacement        0.0 u
max displacement            0.0 u
original HPWL          705257.0 u
legalized HPWL         705257.0 u
delta HPWL                    0 %

Repair setup and hold violations...
repair_timing -verbose -setup_margin 0 -hold_margin 0 -repair_tns 100
[INFO RSZ-0094] Found 112 endpoints with setup violations.
[INFO RSZ-0099] Repairing 112 out of 112 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
        0 |       0 |       0 |        0 |      0 |     0 |   -2.025 |      -30.2 |    112 | hash.h5_out\[29\]$_DFFE_PN_/D
       10 |       2 |       1 |        2 |      0 |     5 |   -1.638 |      -31.5 |    112 | hash.p3_cap\[31\]$_DFF_P_/D
       20 |       2 |       3 |        4 |      0 |    12 |   -1.558 |      -29.5 |    112 | hash.p3_cap\[31\]$_DFF_P_/D
       30 |       3 |       7 |        4 |      0 |    17 |   -1.437 |      -27.7 |    112 | hash.p3_cap\[31\]$_DFF_P_/D
       40 |       3 |      12 |        6 |      0 |    21 |   -1.373 |      -27.0 |    112 | hash.p3_cap\[31\]$_DFF_P_/D
       50 |       3 |      15 |        8 |      0 |    27 |   -1.415 |      -26.8 |    112 | hash.p3_cap\[31\]$_DFF_P_/D
       60 |       3 |      16 |        8 |      0 |    36 |   -1.426 |      -26.1 |    112 | hash.p3_cap\[31\]$_DFF_P_/D
       70 |       3 |      17 |       11 |      0 |    44 |   -1.407 |      -25.6 |    112 | hash.p3_cap\[31\]$_DFF_P_/D
       80 |       8 |      18 |       11 |      0 |    48 |   -1.126 |      -21.6 |    112 | hash.p3_cap\[31\]$_DFF_P_/D
       90 |       8 |      20 |       11 |      0 |    56 |   -1.226 |      -22.3 |    112 | hash.p3_cap\[31\]$_DFF_P_/D
       96 |       8 |      19 |       11 |      0 |    49 |   -1.103 |      -21.2 |    112 | hash.p3_cap\[31\]$_DFF_P_/D
      100 |      11 |      19 |       11 |      0 |    49 |   -1.103 |      -19.0 |    112 | hash.p3_cap\[31\]$_DFF_P_/D
      102 |      13 |      19 |       11 |      0 |    49 |   -1.103 |      -18.5 |    110 | hash.p3_cap\[31\]$_DFF_P_/D
      103 |      13 |      19 |       11 |      0 |    49 |   -1.103 |      -18.5 |    109 | hash.p3_cap\[31\]$_DFF_P_/D
      105 |      13 |      20 |       11 |      0 |    49 |   -1.103 |      -18.4 |    109 | hash.p3_cap\[31\]$_DFF_P_/D
      106 |      13 |      20 |       11 |      0 |    49 |   -1.103 |      -18.4 |    108 | hash.p3_cap\[31\]$_DFF_P_/D
      110 |      13 |      21 |       11 |      0 |    51 |   -1.103 |      -18.2 |    108 | hash.p3_cap\[31\]$_DFF_P_/D
      120 |      13 |      24 |       11 |      0 |    58 |   -1.132 |      -18.6 |    108 | hash.p3_cap\[31\]$_DFF_P_/D
      130 |      13 |      25 |       11 |      0 |    67 |   -1.129 |      -18.8 |    108 | hash.p3_cap\[31\]$_DFF_P_/D
      137 |      13 |      21 |       11 |      0 |    52 |   -1.103 |      -18.2 |    108 | hash.p3_cap\[31\]$_DFF_P_/D
      140 |      13 |      22 |       11 |      0 |    53 |   -1.112 |      -18.2 |    108 | hash.p3_cap\[31\]$_DFF_P_/D
      141 |      13 |      21 |       11 |      0 |    52 |   -1.103 |      -18.2 |    108 | hash.p3_cap\[31\]$_DFF_P_/D
      145 |      13 |      21 |       11 |      0 |    52 |   -1.103 |      -18.2 |    108 | hash.p3_cap\[31\]$_DFF_P_/D
      150 |      13 |      23 |       11 |      0 |    54 |   -1.104 |      -17.9 |    108 | hash.p3_cap\[31\]$_DFF_P_/D
      160 |      13 |      27 |       11 |      0 |    60 |   -1.104 |      -18.1 |    108 | hash.p3_cap\[31\]$_DFF_P_/D
      163 |      13 |      22 |       11 |      0 |    52 |   -1.103 |      -18.1 |    108 | hash.p3_cap\[31\]$_DFF_P_/D
      168 |      13 |      23 |       11 |      0 |    52 |   -1.103 |      -18.1 |    108 | hash.p3_cap\[31\]$_DFF_P_/D
      170 |      13 |      23 |       11 |      0 |    53 |   -1.134 |      -18.3 |    108 | hash.p3_cap\[31\]$_DFF_P_/D
      176 |      13 |      23 |       11 |      0 |    52 |   -1.103 |      -18.1 |    108 | hash.p3_cap\[31\]$_DFF_P_/D
      180 |      13 |      24 |       11 |      0 |    54 |   -1.112 |      -18.2 |    108 | hash.p3_cap\[31\]$_DFF_P_/D
      185 |      13 |      23 |       11 |      0 |    53 |   -1.103 |      -18.1 |    108 | hash.p3_cap\[31\]$_DFF_P_/D
      190 |      13 |      27 |       11 |      0 |    53 |   -1.133 |      -18.1 |    108 | hash.p3_cap\[31\]$_DFF_P_/D
      200 |      13 |      32 |       11 |      0 |    58 |   -1.133 |      -17.8 |    108 | hash.p3_cap\[31\]$_DFF_P_/D
