OpenROAD v2.0-17941-g7fb347f37 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 8 thread(s).
global_placement -skip_io -density 0.55 -pad_left 0 -pad_right 0
[INFO GPL-0002] DBU: 1000
[INFO GPL-0003] SiteSize: (  0.460  2.720 ) um
[INFO GPL-0004] CoreBBox: (  1.380  2.720 ) ( 625.600 625.600 ) um
[INFO GPL-0006] NumInstances:             20416
[INFO GPL-0007] NumPlaceInstances:        15219
[INFO GPL-0008] NumFixedInstances:         5197
[INFO GPL-0009] NumDummyInstances:            0
[INFO GPL-0010] NumNets:                  16495
[INFO GPL-0011] NumPins:                  64849
[INFO GPL-0012] DieBBox:  (  0.000  0.000 ) ( 626.930 626.930 ) um
[INFO GPL-0013] CoreBBox: (  1.380  2.720 ) ( 625.600 625.600 ) um
[INFO GPL-0016] CoreArea:            388814.154 um^2
[INFO GPL-0017] NonPlaceInstsArea:     6502.486 um^2
[INFO GPL-0018] PlaceInstsArea:      209158.099 um^2
[INFO GPL-0019] Util:                    54.709 %
[INFO GPL-0020] StdInstsArea:        209158.099 um^2
[INFO GPL-0021] MacroInstsArea:           0.000 um^2
[INFO GPL-0031] FillerInit:NumGCells:     15302
[INFO GPL-0032] FillerInit:NumGNets:      16495
[INFO GPL-0033] FillerInit:NumGPins:      64849
[INFO GPL-0023] TargetDensity:            0.550
[INFO GPL-0024] AvrgPlaceInstArea:       13.743 um^2
[INFO GPL-0025] IdealBinArea:            24.988 um^2
[INFO GPL-0026] IdealBinCnt:              15560
[INFO GPL-0027] TotalBinArea:        388814.154 um^2
[INFO GPL-0028] BinCnt:        64     64
[INFO GPL-0029] BinSize: (  9.754  9.733 )
[INFO GPL-0030] NumBins: 4096
[NesterovSolve] Iter:    1 overflow: 0.999 HPWL: 59529270
[NesterovSolve] Iter:   10 overflow: 0.998 HPWL: 25355290
[NesterovSolve] Iter:   20 overflow: 0.998 HPWL: 22689437
[NesterovSolve] Iter:   30 overflow: 0.998 HPWL: 22601955
[NesterovSolve] Iter:   40 overflow: 0.998 HPWL: 22289264
[NesterovSolve] Iter:   50 overflow: 0.998 HPWL: 22151089
[NesterovSolve] Iter:   60 overflow: 0.998 HPWL: 22000998
[NesterovSolve] Iter:   70 overflow: 0.998 HPWL: 21879072
[NesterovSolve] Iter:   80 overflow: 0.997 HPWL: 21780238
[NesterovSolve] Iter:   90 overflow: 0.997 HPWL: 21757478
[NesterovSolve] Iter:  100 overflow: 0.997 HPWL: 22160267
[NesterovSolve] Iter:  110 overflow: 0.997 HPWL: 23186990
[NesterovSolve] Iter:  120 overflow: 0.996 HPWL: 25542004
[NesterovSolve] Iter:  130 overflow: 0.995 HPWL: 30342932
[NesterovSolve] Iter:  140 overflow: 0.994 HPWL: 38864616
[NesterovSolve] Iter:  150 overflow: 0.989 HPWL: 50978893
[NesterovSolve] Iter:  160 overflow: 0.982 HPWL: 79181710
[NesterovSolve] Iter:  170 overflow: 0.970 HPWL: 109025935
[NesterovSolve] Iter:  180 overflow: 0.955 HPWL: 134154839
[NesterovSolve] Iter:  190 overflow: 0.935 HPWL: 156996478
[NesterovSolve] Iter:  200 overflow: 0.910 HPWL: 180633874
[NesterovSolve] Iter:  210 overflow: 0.879 HPWL: 204934559
[NesterovSolve] Iter:  220 overflow: 0.848 HPWL: 229022639
[NesterovSolve] Iter:  230 overflow: 0.812 HPWL: 254385206
[NesterovSolve] Iter:  240 overflow: 0.772 HPWL: 282403340
[NesterovSolve] Iter:  250 overflow: 0.732 HPWL: 314377745
[NesterovSolve] Iter:  260 overflow: 0.684 HPWL: 353108373
[NesterovSolve] Iter:  270 overflow: 0.637 HPWL: 389004231
[NesterovSolve] Iter:  280 overflow: 0.593 HPWL: 408115571
[NesterovSolve] Iter:  290 overflow: 0.548 HPWL: 430447452
[NesterovSolve] Iter:  300 overflow: 0.507 HPWL: 447777729
[NesterovSolve] Iter:  310 overflow: 0.464 HPWL: 454619904
[NesterovSolve] Iter:  320 overflow: 0.416 HPWL: 455826900
[NesterovSolve] Iter:  330 overflow: 0.373 HPWL: 457028329
[NesterovSolve] Iter:  340 overflow: 0.330 HPWL: 458878336
[NesterovSolve] Iter:  350 overflow: 0.296 HPWL: 456425726
[NesterovSolve] Iter:  360 overflow: 0.265 HPWL: 456445747
[NesterovSolve] Iter:  370 overflow: 0.235 HPWL: 456852567
[NesterovSolve] Iter:  380 overflow: 0.203 HPWL: 457264336
[NesterovSolve] Iter:  390 overflow: 0.172 HPWL: 458718767
[NesterovSolve] Iter:  400 overflow: 0.145 HPWL: 459894122
[NesterovSolve] Iter:  410 overflow: 0.124 HPWL: 460674836
[NesterovSolve] Iter:  420 overflow: 0.102 HPWL: 461424901
[NesterovSolve] Finished with Overflow: 0.098454
Elapsed time: 0:04.80[h:]min:sec. CPU time: user 34.63 sys 0.04 (721%). Peak memory: 186004KB.
